loss,step
2.3301702,100
0.29848814,200
1.5474206,300
0.536757,400
1.6116357,500
1.1248858,600
1.4075669,700
1.7598468,800
1.2806869,900
1.0811279,1000
2.7683628,1100
1.3292574,1200
0.97405976,1300
0.6418312,1400
0.7276521,1500
1.6129813,1600
2.1867695,1700
1.4985245,1800
0.85932046,1900
2.2783072,2000
1.1877035,2100
1.1685976,2200
1.5910908,2300
2.1028295,2400
0.26710773,2500
1.6483421,2600
1.8125045,2700
1.2714605,2800
2.035381,2900
2.0431423,3000
1.4562025,3100
2.3844018,3200
1.5409786,3300
1.8822141,3400
0.84470636,3500
1.6154858,3600
0.29609302,3700
2.8194468,3800
0.5914125,3900
1.3234487,4000
0.9509327,4100
0.57638186,4200
0.43137458,4300
0.91814786,4400
0.55845726,4500
0.5973228,4600
1.1405407,4700
0.20902066,4800
1.1168245,4900
0.36294082,5000
1.474873,5100
0.5664053,5200
0.4810463,5300
0.6426421,5400
0.640053,5500
1.0188721,5600
0.37646377,5700
0.4324585,5800
0.24086176,5900
0.61322826,6000
1.6923786,6100
1.4154471,6200
0.22030328,6300
0.528945,6400
0.06994738,6500
0.25938407,6600
0.34505227,6700
1.2330756,6800
0.24009469,6900
1.8726215,7000
0.64493555,7100
1.613797,7200
1.3732064,7300
0.5694701,7400
0.43127465,7500
2.2197654,7600
0.50188965,7700
0.733493,7800
0.616678,7900
0.2141681,8000
0.32803,8100
0.8188163,8200
0.5342169,8300
0.26514515,8400
0.54138017,8500
0.28823736,8600
0.27523953,8700
0.6726022,8800
0.28362763,8900
0.22355148,9000
0.31686437,9100
0.23151582,9200
0.9171571,9300
0.9761491,9400
0.84239626,9500
0.9838052,9600
0.55735475,9700
1.3433721,9800
1.29703,9900
0.4034155,10000
0.5108896,10100
0.25702313,10200
0.8219815,10300
0.1588524,10400
0.3227205,10500
0.2677597,10600
0.26936498,10700
0.37748614,10800
0.35843801,10900
0.51147616,11000
0.68217254,11100
0.12860343,11200
1.0509689,11300
0.7290163,11400
