Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
2000,0.00024037265,0.000504423,0.0002900544,0.0,0.0009143388,6.3912456e-05,0.0055878004,0.016522,0.0326655,0.07350474,0.015749205,0.0,0.12742066,0.040234566,0.08259741,0.24395391,0.494207,0.494207
4000,0.01568381,0.04357398,0.009664505,0.0,0.047506265,0.005888172,0.04287062,0.11615215,0.12641214,0.19932786,0.07154401,0.0,0.12469045,0.06528272,0.087629914,0.22460133,0.5022046,0.5022046
6000,0.03006016,0.059207942,0.024415383,0.0,0.074112564,0.018676722,0.10098609,0.19085275,0.1966091,0.27193648,0.16236007,0.0,0.095941864,0.07292958,0.1002092,0.24976768,0.51884836,0.51884836
8000,0.04327727,0.06216804,0.030045277,0.001320132,0.11175749,0.022179842,0.14750773,0.23127954,0.23485674,0.24939843,0.1748701,0.0011494253,0.12878607,0.08466057,0.077249534,0.18770868,0.4784051,0.4784051
10000,0.061256167,0.075264074,0.050394095,0.002310231,0.14994285,0.033962898,0.18249536,0.28602698,0.31084245,0.39873308,0.3425452,0.002020202,0.22545236,0.0917615,0.07042913,0.1724773,0.56012005,0.56012005
12000,0.09914363,0.13135913,0.05853963,0.012376238,0.21040806,0.075649604,0.21977606,0.30617827,0.33074933,0.41919807,0.32519746,0.0125,0.18755132,0.09778167,0.094592944,0.17529397,0.5552197,0.5552197
14000,0.11646738,0.14376539,0.11453099,0.0014851486,0.22537245,0.105011456,0.24706563,0.33610028,0.36002886,0.44851243,0.22684042,0.0020833334,0.19195229,0.09543746,0.0833683,0.1527498,0.52350765,0.52350765
16000,0.08915542,0.12420149,0.03733495,0.032157,0.1740607,0.08108881,0.21998453,0.33332795,0.35437867,0.36678633,0.23594691,0.05745614,0.20430823,0.082721375,0.08003387,0.18461742,0.5516811,0.5516811
18000,0.09288012,0.14509037,0.07112327,0.005280528,0.1727822,0.09228147,0.28811198,0.37790808,0.4157291,0.47597173,0.33840245,0.004166667,0.20506968,0.087904915,0.059477385,0.16007362,0.51252556,0.51252556
20000,0.09386915,0.1538782,0.052117106,0.031930692,0.1731272,0.091534816,0.2748297,0.38765633,0.4246755,0.5206384,0.3115168,0.031157635,0.18187205,0.0806942,0.05908479,0.14848703,0.47013795,0.47013795
22000,0.087732665,0.13717903,0.087776445,0.017821781,0.16874063,0.08143607,0.24499416,0.3470728,0.40098155,0.47544017,0.38029715,0.016858237,0.15926005,0.096610785,0.061628137,0.155148,0.47264695,0.47264695
24000,0.09656391,0.15124573,0.099441215,0.05482274,0.19052362,0.086789995,0.23584427,0.39636135,0.4394214,0.44838145,0.46729478,0.06044657,0.1649497,0.09427931,0.063442595,0.14534104,0.4680124,0.4680124
26000,0.11435084,0.14717565,0.08065422,0.02029602,0.21619374,0.11210211,0.30553862,0.44114238,0.47162428,0.49358362,0.45946458,0.074102566,0.1790191,0.0863236,0.058060344,0.14134094,0.46474412,0.46474412
