Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
2000,0.001861305,0.0048430073,0.00033078666,0.0,0.009633742,0.00012829743,0.008877029,0.03467615,0.04146087,0.08697955,0.04046839,0.0,0.11514518,0.071863346,0.044438407,0.39651787,0.627965,0.627965
4000,0.0136932125,0.020372143,0.008595573,0.0,0.047093656,0.0020318772,0.05656716,0.12096266,0.13987604,0.1886868,0.08520791,0.0,0.10352811,0.059951015,0.047625013,0.40309578,0.61419994,0.61419994
6000,0.032074466,0.03518477,0.019529011,0.0,0.10916039,0.007303745,0.14819863,0.27919778,0.29446334,0.24272473,0.17734237,0.0,0.090671144,0.06357073,0.039455038,0.40158382,0.5952809,0.5952809
8000,0.026697507,0.042739756,0.008686705,0.0,0.071432464,0.01270097,0.070372,0.18640861,0.2004922,0.2645395,0.10613413,0.0,0.12139211,0.06781261,0.0440378,0.40758544,0.6408283,0.6408283
10000,0.042520285,0.05716865,0.025008501,0.006930693,0.11085959,0.022894511,0.13290462,0.26093823,0.27503183,0.33812284,0.13681516,0.006111111,0.13123372,0.07356845,0.0324028,0.39540502,0.6326096,0.6326096
12000,0.05646936,0.07147449,0.043938912,0.064851485,0.13435061,0.03310436,0.14154035,0.28455377,0.2946299,0.3331581,0.19251116,0.064166665,0.18297715,0.06970746,0.046340372,0.41504398,0.7140685,0.7140685
14000,0.05104696,0.07492425,0.023039887,0.0,0.1156695,0.037478212,0.18474416,0.28606918,0.2930791,0.3110578,0.12937212,0.0,0.14376219,0.0734535,0.036895156,0.40036157,0.65447223,0.65447223
16000,0.04191947,0.05429027,0.0415912,0.012541254,0.09725126,0.032861877,0.15986666,0.2918178,0.30175745,0.31939065,0.21299216,0.011674347,0.13657111,0.07417604,0.038347982,0.38370758,0.6328021,0.6328021
18000,0.09200693,0.119368225,0.04002908,0.006930693,0.21139574,0.06575371,0.22030887,0.29261926,0.3050879,0.37970427,0.14484024,0.006158358,0.14785796,0.0620134,0.03799892,0.37170008,0.61957014,0.61957014
20000,0.08026218,0.10350073,0.0593994,0.015346535,0.17387511,0.060504127,0.24458857,0.36247918,0.3794497,0.45831436,0.27576947,0.014351852,0.1585251,0.067613855,0.040594153,0.3890802,0.655813,0.655813
