Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
2000,0.07360487,0.105382256,0.038494613,0.02120462,0.15784647,0.05191724,0.19891186,0.33819228,0.38448656,0.4824015,0.2867136,0.02121588,0.12755132,0.06961718,0.049390823,0.24176402,0.48832357,0.48832357
4000,0.13294685,0.20761389,0.089433685,0.0034653465,0.2532308,0.12814851,0.2678694,0.42005992,0.4561162,0.5381141,0.30845016,0.0033333334,0.13636455,0.058029957,0.03475468,0.24936193,0.47851083,0.47851083
6000,0.18748333,0.2515176,0.13742433,0.01430434,0.34966034,0.17715591,0.34664816,0.458245,0.47355908,0.5776366,0.44641694,0.017973857,0.11315016,0.062194463,0.028067075,0.2577575,0.46116892,0.46116892
8000,0.16883574,0.20333469,0.117466345,0.034257427,0.30604595,0.1735648,0.35189086,0.47463548,0.49950323,0.5074516,0.37927768,0.03401864,0.15085767,0.05958335,0.02880274,0.24970993,0.48895407,0.48895407
10000,0.20155147,0.24708034,0.17169271,0.057178218,0.34988952,0.20272586,0.3847348,0.4773002,0.48479828,0.5779072,0.42239785,0.057017542,0.098126985,0.05351633,0.032432828,0.2737532,0.45782956,0.45782956
12000,0.21260723,0.2970689,0.12462732,0.08007133,0.37171283,0.21989627,0.3534233,0.47459283,0.48775128,0.5945092,0.3572965,0.098589614,0.12485666,0.05315407,0.027268311,0.25804445,0.46332344,0.46332344
14000,0.22001669,0.25294363,0.13852485,0.019471947,0.38620317,0.23216796,0.3711283,0.48389536,0.49287635,0.5009344,0.45052475,0.018419312,0.09722889,0.04601042,0.026446056,0.25348556,0.42317057,0.42317057
16000,0.19466126,0.30782032,0.1139833,0.0054455446,0.3365002,0.20575276,0.39775425,0.4905522,0.5074584,0.5997627,0.4182948,0.005018029,0.08814861,0.045037594,0.030159388,0.26933408,0.43267953,0.43267953
18000,0.20109373,0.24962418,0.13262963,0.023826418,0.3413239,0.21823592,0.42664513,0.5324171,0.55136245,0.5910554,0.39392853,0.031578947,0.115007915,0.04684556,0.02993598,0.25307193,0.44486114,0.44486114
20000,0.2128121,0.29767698,0.14827622,0.020983282,0.35383472,0.23215953,0.39324751,0.4951228,0.5062278,0.5939484,0.43900445,0.04608295,0.14084774,0.04748832,0.02871222,0.25881296,0.475861,0.475861
