Radius\Confidence,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
5,80890,80890,80461,65776,57734,52484,48921,46373,44557,43063,41883,40847,39919,39106,38278,37446,36628,35809,35080,34400
20,80673,80673,80245,65585,57559,52318,48763,46223,44411,42922,41749,40718,39793,38985,38163,37336,36525,35711,34992,34326
35,80270,80270,79845,65242,57239,52012,48473,45938,44133,42653,41487,40463,39545,38746,37928,37112,36305,35501,34797,34153
50,79773,79773,79346,64782,56813,51611,48086,45565,43771,42297,41141,40126,39219,38425,37616,36808,36013,35228,34545,33928
65,79133,79133,78705,64194,56271,51097,47592,45094,43317,41862,40719,39712,38816,38029,37229,36435,35653,34881,34212,33627
80,78343,78343,77917,63489,55613,50477,47001,44530,42768,41327,40199,39207,38326,37552,36773,35995,35235,34477,33830,33277
95,77432,77432,77008,62660,54839,49747,46300,43862,42116,40690,39583,38608,37738,36980,36215,35446,34711,33978,33360,32845
110,76516,76516,76097,61807,54019,48970,45548,43131,41403,39998,38900,37943,37094,36356,35606,34868,34158,33445,32856,32378
125,75527,75527,75107,60880,53144,48149,44761,42364,40652,39266,38184,37242,36409,35687,34964,34262,33569,32889,32328,31894
140,74479,74479,74062,59873,52190,47245,43910,41536,39850,38485,37428,36517,35711,35006,34291,33617,32951,32303,31775,31392
155,73380,73380,72963,58860,51238,46333,43032,40689,39016,37675,36641,35751,34961,34266,33575,32918,32273,31662,31178,30859
170,72166,72166,71759,57748,50191,45333,42065,39767,38121,36812,35803,34927,34169,33493,32823,32194,31578,31013,30577,30331
185,71098,71098,70692,56770,49264,44441,41204,38924,37310,36018,35035,34179,33439,32797,32149,31561,30972,30426,30042,29867
200,69974,69974,69570,55728,48275,43504,40300,38050,36460,35187,34213,33386,32664,32035,31414,30861,30305,29805,29455,29324
215,68999,68999,68593,54807,47384,42669,39492,37268,35688,34437,33480,32664,31967,31352,30759,30233,29699,29224,28917,28824
230,68069,68069,67665,53929,46550,41860,38714,36500,34932,33685,32743,31948,31258,30667,30087,29587,29073,28635,28368,28324
