"Radius\Confidence	",0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975
5,80890,80890,80890,80890,80461,71877,65776,61255,57734,54805,52484,50565,48921,47568,46373,45428,44557,43804,43063,42410,41883,41346,40847,40371,39919,39534,39106,38667,38278,37840,37446,37044,36628,36189,35809,35456,35080,34756,34400,34032
30,80417,80417,80417,80417,79993,71444,65371,60863,57358,54443,52128,50218,48586,47237,46049,45108,44241,43494,42760,42110,41593,41063,40568,40095,39647,39263,38846,38412,38026,37592,37205,36808,36397,35961,35590,35242,34882,34568,34228,33880
55,79570,79570,79570,79570,79143,70636,64596,60127,56644,53747,51448,49552,47929,46589,45414,44485,43629,42886,42158,41515,41005,40481,39992,39531,39087,38708,38294,37873,37489,37064,36685,36298,35896,35468,35118,34785,34438,34140,33833,33540
80,78343,78343,78343,78343,77917,69479,63489,59066,55613,52741,50477,48604,47001,45688,44530,43611,42768,42039,41327,40698,40199,39687,39207,38754,38326,37956,37552,37142,36773,36358,35995,35622,35235,34816,34477,34160,33830,33548,33277,33046
105,76838,76838,76838,76838,76418,68044,62111,57729,54317,51481,49252,47398,45817,44524,43391,42492,41656,40944,40245,39633,39147,38645,38180,37742,37330,36977,36589,36193,35832,35436,35082,34724,34359,33958,33640,33343,33037,32782,32548,32399
130,75182,75182,75182,75182,74765,66456,60548,56205,52842,50051,47859,46044,44486,43206,42092,41207,40386,39689,39003,38406,37935,37449,37006,36580,36179,35839,35462,35083,34740,34374,34051,33717,33373,33003,32707,32432,32157,31926,31741,31687
155,73380,73380,73380,73380,72963,64717,58860,54561,51238,48492,46333,44550,43032,41779,40689,39822,39016,38334,37675,37102,36641,36179,35751,35346,34961,34640,34266,33905,33575,33230,32918,32596,32273,31927,31662,31420,31178,30990,30859,30892
180,71456,71456,71456,71456,71049,62878,57090,52834,49564,46853,44733,42980,41491,40275,39214,38375,37587,36926,36293,35742,35300,34847,34434,34044,33684,33380,33032,32688,32375,32056,31779,31481,31187,30872,30639,30438,30234,30095,30022,30145
205,69635,69635,69635,69635,69233,61132,55412,51217,47975,45300,43218,41483,40017,38819,37775,36958,36192,35555,34930,34392,33962,33531,33142,32767,32435,32141,31810,31488,31195,30902,30647,30368,30096,29812,29603,29431,29263,29163,29144,29354
230,68069,68069,68069,68069,67665,59601,53929,49762,46550,43902,41860,40154,38714,37537,36500,35691,34932,34299,33685,33161,32743,32326,31948,31579,31258,30976,30667,30364,30087,29817,29587,29324,29073,28819,28635,28491,28368,28296,28324,28615
255,66599,66599,66599,66599,66196,58165,52511,48364,45163,42532,40499,38813,37395,36240,35235,34439,33697,33067,32475,31957,31543,31135,30768,30406,30096,29845,29541,29253,28986,28738,28524,28286,28046,27814,27654,27537,27432,27409,27477,27858
280,65200,65200,65200,65200,64798,56798,51168,47036,43860,41249,39234,37554,36146,35007,34006,33215,32480,31862,31283,30775,30372,29977,29613,29261,28957,28713,28427,28156,27912,27692,27501,27283,27061,26850,26712,26620,26544,26556,26675,27132
305,63882,63882,63882,63882,63483,55484,49876,45745,42576,39988,37988,36315,34921,33797,32816,32035,31303,30688,30117,29630,29241,28852,28493,28152,27856,27625,27357,27090,26863,26660,26478,26272,26065,25882,25771,25697,25650,25689,25863,26408
330,62575,62575,62575,62575,62178,54182,48587,44481,41336,38769,36799,35143,33771,32650,31684,30921,30206,29599,29028,28551,28167,27784,27434,27101,26810,26592,26329,26076,25853,25672,25498,25296,25100,24936,24839,24779,24758,24825,25039,25656
355,61426,61426,61426,61426,61027,53060,47466,43381,40253,37702,35741,34089,32720,31615,30659,29910,29206,28603,28055,27580,27202,26830,26478,26163,25873,25660,25406,25160,24941,24765,24593,24394,24214,24061,23984,23941,23947,24034,24275,24949
380,60402,60402,60402,60402,60003,52038,46452,42366,39259,36717,34762,33120,31754,30659,29714,28972,28275,27679,27133,26667,26294,25929,25584,25272,24993,24786,24546,24306,24093,23926,23766,23571,23401,23263,23192,23170,23188,23298,23568,24279
405,59530,59530,59530,59530,59128,51155,45580,41478,38372,35835,33892,32251,30890,29809,28865,28126,27429,26847,26308,25850,25491,25135,24801,24500,24230,24038,23797,23564,23354,23196,23043,22860,22709,22590,22536,22521,22546,22677,22957,23715
430,58666,58666,58666,58666,58263,50302,44731,40638,37534,35020,33067,31441,30073,28994,28055,27314,26628,26046,25519,25064,24712,24353,24021,23733,23477,23288,23049,22820,22622,22479,22334,22162,22023,21921,21876,21874,21918,22068,22377,23190
455,57918,57918,57918,57918,57513,49535,43960,39859,36767,34261,32321,30697,29335,28259,27326,26594,25910,25331,24808,24363,24013,23661,23330,23051,22802,22622,22389,22164,21980,21849,21705,21540,21404,21316,21277,21293,21352,21521,21869,22711
480,57186,57186,57186,57186,56776,48798,43228,39129,36036,33520,31575,29957,28606,27525,26591,25859,25193,24626,24110,23666,23316,22969,22642,22365,22120,21943,21713,21491,21327,21200,21066,20916,20792,20714,20681,20713,20784,20980,21350,22217
505,56517,56517,56517,56517,56107,48133,42571,38460,35370,32848,30900,29298,27949,26869,25937,25200,24545,23973,23461,23021,22674,22337,22014,21741,21503,21335,21112,20899,20738,20616,20491,20350,20235,20157,20134,20182,20262,20468,20864,21773
530,55893,55893,55893,55893,55488,47499,41937,37834,34739,32220,30281,28688,27340,26267,25341,24602,23945,23379,22866,22428,22078,21746,21429,21158,20928,20766,20547,20339,20185,20071,19957,19822,19714,19644,19629,19690,19781,19998,20420,21368
555,55352,55352,55352,55352,54946,46953,41410,37301,34205,31686,29745,28158,26811,25738,24818,24083,23429,22859,22341,21908,21564,21241,20929,20671,20445,20291,20082,19879,19732,19616,19511,19376,19270,19214,19212,19277,19378,19598,20042,21022
580,54776,54776,54776,54776,54375,46397,40857,36767,33671,31153,29211,27617,26284,25220,24299,23572,22922,22357,21845,21409,21072,20757,20447,20198,19976,19826,19623,19429,19292,19187,19094,18964,18864,18816,18823,18900,19012,19245,19703,20726
605,54280,54280,54280,54280,53879,45900,40362,36274,33201,30686,28748,27149,25820,24755,23836,23116,22467,21900,21389,20958,20625,20315,20010,19764,19547,19395,19195,19012,18885,18787,18707,18590,18491,18451,18466,18555,18679,18926,19400,20445
630,53911,53911,53911,53911,53512,45517,39972,35876,32798,30283,28344,26736,25401,24334,23419,22699,22046,21479,20973,20540,20219,19918,19627,19383,19174,19020,18829,18656,18534,18443,18373,18264,18174,18144,18162,18261,18402,18659,19152,20214
655,53530,53530,53530,53530,53132,45132,39573,35473,32380,29867,27925,26328,24999,23928,23009,22296,21650,21081,20581,20155,19845,19544,19252,19012,18810,18661,18474,18302,18184,18098,18030,17924,17843,17822,17850,17961,18111,18374,18887,19970
680,53238,53238,53238,53238,52841,44829,39254,35153,32052,29530,27591,25992,24663,23592,22676,21968,21324,20749,20257,19837,19527,19225,18936,18708,18505,18362,18184,18021,17910,17823,17762,17658,17578,17572,17608,17726,17887,18160,18683,19782
705,52908,52908,52908,52908,52513,44487,38917,34800,31694,29170,27221,25623,24301,23230,22304,21597,20965,20399,19901,19481,19171,18874,18588,18361,18160,18027,17851,17694,17584,17499,17441,17343,17278,17274,17317,17446,17623,17906,18448,19573
730,52633,52633,52633,52633,52234,44197,38609,34501,31396,28872,26924,25326,23998,22934,22008,21307,20669,20105,19605,19189,18877,18579,18292,18062,17866,17735,17561,17411,17306,17226,17180,17095,17036,17045,17095,17237,17421,17704,18269,19406
755,52340,52340,52340,52340,51942,43906,38317,34213,31118,28596,26647,25057,23721,22654,21724,21024,20382,19824,19331,18913,18601,18306,18022,17797,17596,17470,17298,17150,17050,16974,16933,16858,16803,16814,16867,17013,17207,17498,18073,19229
780,52068,52068,52068,52068,51669,43629,38042,33932,30839,28317,26368,24783,23444,22375,21441,20743,20103,19545,19062,18643,18333,18037,17759,17536,17339,17212,17046,16901,16801,16727,16693,16624,16575,16593,16651,16807,17010,17307,17892,19066
805,51839,51839,51839,51839,51439,43380,37782,33673,30583,28055,26104,24523,23184,22118,21186,20496,19858,19305,18822,18405,18099,17804,17524,17300,17104,16975,16814,16671,16578,16515,16483,16418,16373,16397,16459,16621,16825,17132,17731,18925
